Date,Open,High,Low,Close,Adj Close,Volume
2022-02-07,15.290000,15.510000,15.130000,15.290000,15.290000,20400
2022-02-08,15.140000,15.350000,14.940000,15.350000,15.350000,21100
2022-02-09,15.570000,16.059999,15.450000,16.059999,16.059999,14900
2022-02-10,16.860001,16.860001,15.530000,15.660000,15.660000,24700
2022-02-11,15.730000,15.930000,15.000000,15.000000,15.000000,14700
2022-02-14,14.850000,15.160000,14.462000,14.630000,14.630000,11800
2022-02-15,15.130000,15.610000,15.130000,15.610000,15.610000,19200
2022-02-16,15.480000,15.670000,15.280000,15.470000,15.470000,12400
2022-02-17,15.130000,15.280000,14.411000,14.560000,14.560000,15000
2022-02-18,14.320000,14.371000,13.850000,14.030000,14.030000,14400
2022-02-22,14.730000,14.730000,13.420000,13.600000,13.600000,26400
2022-02-23,13.970000,13.970000,13.071000,13.140000,13.140000,15500
2022-02-24,12.190000,13.775000,12.180000,13.730000,13.730000,25900
2022-02-25,13.990000,14.070000,13.695000,14.010000,14.010000,15400
2022-02-28,13.920000,14.780000,13.920000,14.610000,14.610000,14300
2022-03-01,14.800000,15.120000,14.439000,14.620000,14.620000,12500
2022-03-02,14.660000,14.798000,14.360000,14.770000,14.770000,6900
2022-03-03,14.910000,14.910000,13.910000,13.980000,13.980000,11000
2022-03-04,13.750000,13.760000,13.129000,13.250000,13.250000,11300
2022-03-07,13.120000,13.290000,12.570000,12.610000,12.610000,12300
2022-03-08,12.590000,13.170000,12.410000,12.780000,12.780000,18500
2022-03-09,13.390000,13.840000,13.390000,13.800000,13.800000,13400
2022-03-10,13.340000,13.530000,13.100000,13.530000,13.530000,5800
2022-03-11,13.600000,13.600000,12.793000,12.793000,12.793000,6800
2022-03-14,12.710000,12.760000,12.085000,12.141000,12.141000,9500
2022-03-15,12.240000,12.460000,12.000000,12.460000,12.460000,4900
2022-03-16,12.980000,13.460000,12.730000,13.460000,13.460000,4800
2022-03-17,13.360000,14.037000,13.360000,14.037000,14.037000,6300
2022-03-18,13.940000,14.590000,13.830000,14.430000,14.430000,9800
2022-03-21,14.550000,14.580000,14.150000,14.327000,14.327000,11900
2022-03-22,14.810000,15.200000,14.550000,15.059000,15.059000,14100
2022-03-23,15.000000,15.460000,14.990000,15.036000,15.036000,11600
2022-03-24,15.260000,15.555000,14.815000,15.555000,15.555000,5400
2022-03-25,15.830000,15.830000,15.065000,15.215000,15.215000,10200
2022-03-28,15.220000,16.100000,15.220000,16.080000,16.080000,18100
2022-03-29,16.340000,16.340000,15.690000,16.232000,16.232000,13400
2022-03-30,16.139999,16.139999,15.514000,15.514000,15.514000,11300
2022-03-31,16.590000,16.590000,15.100000,15.107000,15.107000,11000
2022-04-01,16.240000,16.240000,15.055000,15.126000,15.126000,10500
2022-04-04,15.020000,15.618000,15.020000,15.618000,15.618000,7200
2022-04-05,16.000000,16.000000,14.930000,14.938000,14.938000,9200
2022-04-06,14.690000,14.690000,14.150000,14.270000,14.270000,7800
2022-04-07,14.061000,14.100000,13.660000,14.042000,14.042000,12600
2022-04-08,14.100000,14.100000,13.516000,13.516000,13.516000,6700
2022-04-11,13.380000,13.480000,13.141000,13.141000,13.141000,4800
2022-04-12,13.430000,13.440000,12.770000,12.810000,12.810000,7700
2022-04-13,12.880000,13.300000,12.870000,13.300000,13.300000,9400
2022-04-14,13.650000,13.650000,12.696000,12.696000,12.696000,6500
2022-04-18,12.620000,12.620000,12.270000,12.512000,12.512000,5500
2022-04-19,13.470000,13.470000,12.560000,12.888000,12.888000,4400
2022-04-20,13.100000,13.100000,12.420000,12.420000,12.420000,5200
2022-04-21,12.520000,12.520000,11.790000,11.845000,11.845000,9900
2022-04-22,11.760000,11.925000,11.340000,11.380000,11.380000,11400
2022-04-25,11.270000,11.465000,11.142000,11.270000,11.270000,6400
2022-04-26,12.240000,12.240000,10.750000,10.751000,10.751000,9300
2022-04-27,11.470000,11.470000,10.672000,10.672000,10.672000,17300
2022-04-28,10.931000,11.010000,10.370000,10.960000,10.960000,9600
2022-04-29,10.500000,10.985000,10.500000,10.520000,10.520000,3100
2022-05-02,10.500000,10.801000,10.385000,10.801000,10.801000,3600
2022-05-03,10.680000,10.900000,10.680000,10.810000,10.810000,3400
2022-05-04,10.920000,11.330000,10.505000,11.300000,11.300000,6600
2022-05-05,11.310000,11.310000,10.140000,10.266000,10.266000,11700
2022-05-06,10.060000,10.330000,10.060000,10.154000,10.154000,11200
2022-05-09,9.760000,9.760000,8.760000,8.763000,8.763000,12300
2022-05-10,9.120000,9.120000,8.485000,8.602000,8.602000,6400
2022-05-11,8.220000,8.540000,7.792000,7.792000,7.792000,11000
2022-05-12,7.500000,7.990000,7.295000,7.780000,7.780000,5900
2022-05-13,8.350000,8.690000,8.350000,8.493000,8.493000,16900
2022-05-16,8.600000,8.600000,8.080000,8.092000,8.092000,5400
2022-05-17,8.370000,8.610000,8.272000,8.610000,8.610000,9100
2022-05-18,8.360000,8.500000,8.176000,8.176000,8.176000,4500
2022-05-19,8.250000,8.400000,8.250000,8.321000,8.321000,1700
2022-05-20,8.400000,8.400000,7.810000,8.099000,8.099000,3900
2022-05-23,8.270000,8.270000,7.930000,8.145000,8.145000,3000
2022-05-24,8.100000,8.100000,7.650000,7.720000,7.720000,5800
2022-05-25,7.650000,8.000000,7.650000,7.973000,7.973000,1500
2022-05-26,7.790000,8.280000,7.790000,8.247000,8.247000,6700
2022-05-27,8.480000,8.610000,8.400000,8.608000,8.608000,16100
2022-05-31,8.980000,8.980000,8.621000,8.621000,8.621000,5900
2022-06-01,8.680000,8.680000,8.130000,8.213000,8.213000,7100
2022-06-02,8.190000,8.560000,8.190000,8.560000,8.560000,3000
2022-06-03,8.350000,8.350000,8.190000,8.270000,8.270000,3600
2022-06-06,8.440000,8.450000,8.190000,8.210000,8.210000,3500
2022-06-07,7.980000,8.340000,7.980000,8.275000,8.275000,2700
2022-06-08,7.710000,8.440000,7.710000,8.223000,8.223000,5300
2022-06-09,8.280000,8.280000,7.790000,7.791000,7.791000,7500
2022-06-10,7.560000,7.580000,7.460000,7.529000,7.529000,10700
2022-06-13,7.720000,7.720000,6.710000,6.714000,6.714000,17700
2022-06-14,6.670000,6.731000,6.510000,6.682000,6.682000,7200
2022-06-15,6.760000,6.820000,6.610000,6.773000,6.773000,5800
2022-06-16,6.730000,6.730000,6.410000,6.457000,6.457000,9300
2022-06-17,6.400000,6.602000,6.400000,6.543000,6.543000,2100
2022-06-21,6.620000,7.070000,6.620000,6.825000,6.825000,11200
2022-06-22,6.710000,6.710000,6.538000,6.538000,6.538000,2600
2022-06-23,6.730000,6.830000,6.665000,6.821000,6.821000,3400
2022-06-24,6.900000,7.140000,6.900000,7.030000,7.030000,7200
2022-06-27,7.090000,7.090000,6.750000,6.804000,6.804000,8900
2022-06-28,6.820000,6.900000,6.464000,6.464000,6.464000,2200
2022-06-29,6.330000,6.330000,6.250000,6.275000,6.275000,2200
2022-06-30,6.100000,6.100000,5.920000,5.982000,5.982000,1800
2022-07-01,5.994000,6.130000,5.955000,6.078000,6.078000,2600
2022-07-05,5.950000,6.365000,5.860000,6.365000,6.365000,2000
2022-07-06,6.260100,6.260100,6.195400,6.195400,6.195400,2810
