"","word","freq","sentRes","color"
"1099","generation🦔🆔‍♂️",1,0.4,"#03590C49"
"1100","genius”",1,0.5,"#03590C5B"
"1101","gimmick",1,-0.4,"#B3050949"
"1102","gladden",1,1,"#03590CB6"
"1103","glitch🖔deathpunk🖔",1,-0.5,"#B305095B"
"1104","goods🖔🆔",1,0.6,"#03590C6D"
"1105","gooey",1,-0.25,"#B305092E"
"1106","great🖔",1,0.5,"#03590C5B"
"1107","happiness🖔🖔",1,0.75,"#03590C89"
"1108","happy",1,0.75,"#03590C89"
"1109","harvest",1,0.6,"#03590C6D"
"1110","heartbroken",1,-0.5,"#B305095B"
"1111","httpstcogbcplzrjn●join",1,0.25,"#03590C2E"
"1112","hug",1,0.75,"#03590C89"
"1113","humour",1,0.5,"#03590C5B"
"1114","hustler",1,-0.5,"#B305095B"
"1115","ignore",1,-0.75,"#B3050989"
"1116","illness",1,-0.75,"#B3050989"
"1117","illness🖔",1,-0.75,"#B3050989"
"1118","illusion",1,-0.25,"#B305092E"
"1119","impeccable",1,0.5,"#03590C5B"
"1120","imperfect",1,-0.5,"#B305095B"
"1121","impression",1,0.1,"#03590C12"
"1122","include",1,0.6,"#03590C6D"
"1123","inept",1,-0.5,"#B305095B"
"1124","infected",1,-0.75,"#B3050989"
"1125","influential",1,1,"#03590CB6"
"1126","inspector",1,0.25,"#03590C2E"
"1127","intelligence•the",1,0.5,"#03590C5B"
"1128","ire",1,-0.5,"#B305095B"
"1129","ironic",1,-0.25,"#B305092E"
"1130","laughter",1,0.8,"#03590C92"
"1131","launched🦔",1,0.25,"#03590C2E"
"1132","level🖔nnfloor",1,0.4,"#03590C49"
"1133","lier",1,-0.8,"#B3050992"
"1134","losing🖔🖔nkeep",1,-0.75,"#B3050989"
"1135","lover•akwaibomite•hse🖔•investor🖔",1,0.5,"#03590C5B"
"1136","lover♥️n🖔architectur",1,0.5,"#03590C5B"
"1137","lover🖔",1,0.5,"#03590C5B"
"1138","lover🖔🖔",1,0.5,"#03590C5B"
"1139","love🆔☮️",1,0.75,"#03590C89"
"1140","lowcost",1,0.8,"#03590C92"
"1141","luckiest",1,1,"#03590CB6"
"1142","magnet",1,0.4,"#03590C49"
"1143","management",1,0.4,"#03590C49"
"1144","mania",1,-0.5,"#B305095B"
"1145","maniac🦔🦔🦔",1,-0.5,"#B305095B"
"1146","mire",1,-0.5,"#B305095B"
"1147","modest",1,0.75,"#03590C89"
"1148","money🖔",1,0.6,"#03590C6D"
"1149","money🖔✨",1,0.6,"#03590C6D"
"1150","moral",1,0.1,"#03590C12"
"1151","muscular",1,0.6,"#03590C6D"
"1152","nft🖔n🆔hope",1,0.5,"#03590C5B"
"1153","nn🖔new",1,0.8,"#03590C92"
"1154","n🖔join",1,0.25,"#03590C2E"
"1155","offend",1,-0.75,"#B3050989"
"1156","outreach",1,-0.25,"#B305092E"
"1157","overload",1,-0.5,"#B305095B"
"1158","panic",1,-0.8,"#B3050992"
"1159","passion🖔nw",1,0.5,"#03590C5B"
"1160","patient🦔chill",1,0.4,"#03590C49"
"1161","patter",1,-0.25,"#B305092E"
"1162","perish",1,-0.5,"#B305095B"
"1163","perplex",1,-0.8,"#B3050992"
"1164","playground”",1,0.5,"#03590C5B"
"1165","poison",1,-0.75,"#B3050989"
"1166","premier",1,0.5,"#03590C5B"
"1167","present🖔🖔♊✡️🖔️☯",1,0.25,"#03590C2E"
"1168","producer",1,0.4,"#03590C49"
"1169","promoter⚡grow",1,1.4,"#03590CFF"
"1170","promoter🦔🆔🖔nnft",1,0.6,"#03590C6D"
"1171","protection🆔",1,0.8,"#03590C92"
"1172","provoke",1,-0.5,"#B305095B"
"1173","psycho",1,-1,"#B30509B6"
"1174","punctual",1,0.5,"#03590C5B"
"1175","pursuit",1,-0.4,"#B3050949"
"1176","realityn●knownorigin●foundation●rarible●terravirtua●ghostmarket●nhttpstcommfkakvmk",1,0.4,"#03590C49"
"1177","rebellion",1,-0.6,"#B305096D"
"1178","rebuild、セキュリティのアレ、mozaic、turingcomplete、misread",1,-0.75,"#B3050989"
"1179","refuge",1,1,"#03590CB6"
"1180","resign",1,-0.5,"#B305095B"
"1181","reunion",1,0.8,"#03590C92"
"1182","riot",1,-0.5,"#B305095B"
"1183","risk，get",1,-0.75,"#B3050989"
"1184","rot",1,-0.5,"#B305095B"
"1185","rout",1,-0.4,"#B3050949"
"1186","sarcasm",1,-0.5,"#B305095B"
"1187","scar",1,-0.5,"#B305095B"
"1188","scum",1,-0.5,"#B305095B"
"1189","sexy🆔nhttpstcomveuxoetcnncr",1,0.75,"#03590C89"
"1190","slimシリーズ",1,0.6,"#03590C6D"
"1191","smiles🖔",1,0.5,"#03590C5B"
"1192","socialist",1,-0.25,"#B305092E"
"1193","soonnn🖔join",1,0.25,"#03590C2E"
"1194","sorrow",1,-1,"#B30509B6"
"1195","stalk",1,-0.8,"#B3050992"
"1196","stalker✨nmi",1,-1,"#B30509B6"
"1197","strife",1,-0.5,"#B305095B"
"1198","succeed🖔",1,0.5,"#03590C5B"
"1199","technology🖔❤ndo",1,0.1,"#03590C12"
"1200","tedious",1,-0.5,"#B305095B"
"1201","terror",1,-1,"#B30509B6"
"1202","thinker•errand",1,0.1,"#03590C12"
"1203","thriller",1,0.1,"#03590C12"
"1204","touréguide",1,0.6,"#03590C6D"
"1205","travail",1,-0.4,"#B3050949"
"1206","treatment",1,-0.25,"#B305092E"
"1207","uncertain",1,-0.75,"#B3050989"
"1208","unclear",1,-0.5,"#B305095B"
"1209","unique❓n⃣",1,0.6,"#03590C6D"
"1210","valor",1,0.5,"#03590C5B"
"1211","vital",1,0.4,"#03590C49"
"1212","vogue",1,0.6,"#03590C6D"
"1213","vulgar",1,-0.5,"#B305095B"
"1214","warden",1,-0.4,"#B3050949"
"1215","wars🦔",1,-1,"#B30509B6"
"1216","wax🦔art",1,0.6,"#03590C6D"
"1217","weed🖔",1,-0.25,"#B305092E"
"1218","weird✌️🦔",1,-0.25,"#B305092E"
"1219","win🦔✨",1,0.5,"#03590C5B"
"1220","work🆔",1,0.25,"#03590C2E"
"1221","writing🖔tarot🖔supporter❤️",1,0.75,"#03590C89"
"1222","yelp",1,-0.8,"#B3050992"
"1223","âmâli’lmüslimîn",1,0.6,"#03590C6D"
"1224","“pain",1,-0.75,"#B3050989"
"1225","•artist",1,0.6,"#03590C6D"
"1226","♠️artist♠️n♥️collag",1,0.6,"#03590C6D"
"1227","⚡️artist",1,0.6,"#03590C6D"
"1228","⚡️youth",1,0.4,"#03590C49"
"1229","✨ancient",1,0.25,"#03590C2E"
"1230","✨queer✨",1,-0.25,"#B305092E"
"1231","❤️thank",1,0.5,"#03590C5B"
"1232","，accept",1,1,"#03590CB6"
"1233","🆔artist",1,0.6,"#03590C6D"
"1234","🆔artist✍🆔author",1,0.6,"#03590C6D"
"1235","🆔cheers",1,1,"#03590CB6"
"1236","🆔🆔artist",1,0.6,"#03590C6D"
"1237","🖔big",1,0.25,"#03590C2E"
"1238","🖔heal",1,0.75,"#03590C89"
"1239","🖔launch",1,-0.1,"#B3050912"
"1240","🖔new",1,0.8,"#03590C92"
"1241","🖔prophet",1,0.6,"#03590C6D"
"1242","🖔‍🆔artist",1,0.6,"#03590C6D"
"1243","🖔🆔art",1,0.6,"#03590C6D"
"1244","🖔🆔discord",1,-0.75,"#B3050989"
"1245","🖔🖔crypt",1,-0.8,"#B3050992"
"1246","🖔🖔wealth",1,0.5,"#03590C5B"
"1247","🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔🖔good",1,0.75,"#03590C89"
"1248","🦔cake•gang",1,-0.8,"#B3050992"
"1249","abilities🇥nnthey",1,0.6,"#03590C6D"
"1250","aboard",1,0.25,"#03590C2E"
"1251","abound",1,0.25,"#03590C2E"
"1252","admit",1,0.6,"#03590C6D"
"1253","adventure🗥nnhttpstcoxvzkgtvtnnnftcommu",1,0.5,"#03590C5B"
"1254","agreement",1,0.5,"#03590C5B"
"1255","agree🧥babydog",1,0.5,"#03590C5B"
"1256","aid",1,1,"#03590CB6"
"1257","alarm",1,-0.75,"#B3050989"
"1258","alert⚡️nnveveoffici",1,-0.25,"#B305092E"
"1259","alert❤️‍🗥❤️‍🗥",1,-0.25,"#B305092E"
"1260","amazing🗥nsolid",1,0.5,"#03590C5B"
"1261","angst",1,-1,"#B30509B6"
"1262","announcement🗥nn⏱️join",1,0.25,"#03590C2E"
"1263","anxious",1,-0.75,"#B3050989"
"1264","arrest",1,-0.5,"#B305095B"
"1265","artist’",1,0.6,"#03590C6D"
"1266","artwork…im",1,0.6,"#03590C6D"
"1267","art🗥‍🇥nnpleas",1,0.6,"#03590C6D"
"1268","art🗥⁠ncreat",1,0.6,"#03590C6D"
"1269","art🗥🗥️",1,0.6,"#03590C6D"
"1270","assault",1,-0.75,"#B3050989"
"1271","astonish",1,0.25,"#03590C2E"
"1272","attention”",1,0.25,"#03590C2E"
